"epoch","Residual_Network - _step","Residual_Network - _step__MIN","Residual_Network - _step__MAX","Residual_Network - loss/train_epoch","Residual_Network - loss/train_epoch__MIN","Residual_Network - loss/train_epoch__MAX","Residual_Network - loss/val_epoch","Residual_Network - loss/val_epoch__MIN","Residual_Network - loss/val_epoch__MAX"
"0","374.3333333333333","224","450","0.6364807486534119","0.6364807486534119","0.6364807486534119","0.6393119096755981","0.5533244609832764","0.7252993583679199"
"1","825.6666666666666","675","902","0.3524266183376312","0.3524266183376312","0.3524266183376312","0.6085556149482727","0.5135337114334106","0.7035775184631348"
"2","1277.3333333333333","1127","1353","0.2104114145040512","0.2104114145040512","0.2104114145040512","0.7095091938972473","0.6415173411369324","0.7775010466575623"
"3","1728.6666666666667","1578","1805","0.1574161797761917","0.1574161797761917","0.1574161797761917","0.8801956176757812","0.8546796441078186","0.9057115912437439"
"4","2180.3333333333335","2030","2256","0.1368849277496338","0.1368849277496338","0.1368849277496338","1.048061728477478","1.010241985321045","1.0858814716339111"
"5","2631.6666666666665","2481","2708","0.1279769390821457","0.1279769390821457","0.1279769390821457","1.1006450057029724","1.0142515897750854","1.1870384216308594"
"6","3083.3333333333335","2933","3159","0.12228281050920486","0.12228281050920486","0.12228281050920486","0.8998646140098572","0.7074005603790283","1.092328667640686"
"7","3534.6666666666665","3384","3611","0.1180977076292038","0.1180977076292038","0.1180977076292038","1.1963061094284058","1.1316490173339844","1.2609632015228271"
"8","3986.3333333333335","3836","4062","0.11757108569145203","0.11757108569145203","0.11757108569145203","1.4683033227920532","1.4589483737945557","1.4776582717895508"
"9","4287.5","4287","4288","0.11730185151100159","0.11730185151100159","0.11730185151100159","1.30298912525177","1.30298912525177","1.30298912525177"
