"epoch","FAVORITE_transformer_db_false_full_attention - _step","FAVORITE_transformer_db_false_full_attention - _step__MIN","FAVORITE_transformer_db_false_full_attention - _step__MAX","FAVORITE_transformer_db_false_full_attention - loss/val_epoch","FAVORITE_transformer_db_false_full_attention - loss/val_epoch__MIN","FAVORITE_transformer_db_false_full_attention - loss/val_epoch__MAX","FAVORITE_transformer_db_false_full_attention - loss/train_epoch","FAVORITE_transformer_db_false_full_attention - loss/train_epoch__MIN","FAVORITE_transformer_db_false_full_attention - loss/train_epoch__MAX"
"0","374.3333333333333","224","450","0.7075994312763214","0.6896333694458008","0.725565493106842","0.7242773771286011","0.7242773771286011","0.7242773771286011"
"1","825.6666666666666","675","902","0.5965631306171417","0.5774397850036621","0.6156864762306213","0.6302686333656311","0.6302686333656311","0.6302686333656311"
"2","1277.3333333333333","1127","1353","0.5563310384750366","0.5498334169387817","0.5628286600112915","0.5800585746765137","0.5800585746765137","0.5800585746765137"
"3","1728.6666666666667","1578","1805","0.5312724709510803","0.5254190564155579","0.5371258854866028","0.5531935691833496","0.5531935691833496","0.5531935691833496"
"4","2180.3333333333335","2030","2256","0.5148496329784393","0.5119102001190186","0.5177890658378601","0.5361411571502686","0.5361411571502686","0.5361411571502686"
"5","2631.6666666666665","2481","2708","0.4953553229570389","0.48428162932395935","0.5064290165901184","0.5176703333854675","0.5176703333854675","0.5176703333854675"
"6","3083.3333333333335","2933","3159","0.4903358668088913","0.48398247361183167","0.4966892600059509","0.4890209436416626","0.4890209436416626","0.4890209436416626"
"7","3534.6666666666665","3384","3611","0.43905889987945557","0.4315233528614044","0.4465944468975067","0.4580547511577606","0.4580547511577606","0.4580547511577606"
"8","3986.3333333333335","3836","4062","0.42018361389636993","0.40667352080345154","0.43369370698928833","0.4262163043022156","0.4262163043022156","0.4262163043022156"
"9","4437.666666666667","4287","4514","0.39712584018707275","0.38293173909187317","0.41131994128227234","0.4081529676914215","0.4081529676914215","0.4081529676914215"
"10","4889.333333333333","4739","4965","0.37169577181339264","0.367329478263855","0.3760620653629303","0.38921040296554565","0.38921040296554565","0.38921040296554565"
